floor,A,B,C,O,symbol,bid_size,bid_price,ask_size,ask_price
11:46:00.000000000,1.00,,,,SPXW__220302P04390000,1,25.10,6,25.50
11:47:00.000000000,1.00,,,,SPXW__220302P04390000,23,23.80,37,24.40
11:48:00.000000000,1.00,,,,SPXW__220302P04390000,1,25.60,6,26.20
11:49:00.000000000,1.00,,,,SPXW__220302P04390000,12,27.30,5,27.70
11:50:00.000000000,1.00,,,,SPXW__220302P04390000,6,25.60,5,26.10
11:51:00.000000000,1.00,,,,SPXW__220302P04390000,37,26.10,37,26.80
11:52:00.000000000,1.00,,,,SPXW__220302P04390000,18,24.80,6,25.30
11:53:00.000000000,1.00,,,,SPXW__220302P04390000,13,24.40,13,25.00
11:54:00.000000000,1.00,,,,SPXW__220302P04390000,12,26.20,11,26.90
11:55:00.000000000,1.00,,,,SPXW__220302P04390000,11,23.40,15,23.90
11:56:00.000000000,0.89,,,0.11,SPXW__220302P04390000,12,23.70,24,24.20
11:57:00.000000000,1.00,,,,SPXW__220302P04390000,6,23.30,6,23.90
11:58:00.000000000,1.00,,,,SPXW__220302P04390000,15,24.00,37,24.60
11:59:00.000000000,1.00,,,,SPXW__220302P04390000,11,23.00,14,23.40
12:00:00.000000000,1.00,,,,SPXW__220302P04390000,25,22.90,41,23.60
12:01:00.000000000,1.00,,,,SPXW__220302P04390000,32,22.00,32,22.60
12:02:00.000000000,0.92,,,0.08,SPXW__220302P04390000,20,20.40,37,20.90
12:03:00.000000000,0.99,,,0.01,SPXW__220302P04390000,5,20.10,6,20.40
12:04:00.000000000,1.00,,,,SPXW__220302P04390000,12,21.60,12,22.10
12:05:00.000000000,1.00,,,0.00,SPXW__220302P04390000,16,24.20,5,24.60
12:06:00.000000000,1.00,,,,SPXW__220302P04390000,4,21.70,4,22.80
12:07:00.000000000,0.99,0.01,,,SPXW__220302P04390000,18,22.20,37,22.90
12:08:00.000000000,0.99,,,0.01,SPXW__220302P04390000,5,20.50,10,20.70
12:09:00.000000000,0.97,,,0.03,SPXW__220302P04390000,23,20.20,6,20.60
12:10:00.000000000,0.93,0.07,,,SPXW__220302P04390000,7,19.60,1,20.10
12:11:00.000000000,0.96,,,0.04,SPXW__220302P04390000,5,18.70,6,19.20
12:12:00.000000000,0.98,,,0.02,SPXW__220302P04390000,12,19.10,27,19.60
12:13:00.000000000,1.00,,,0.00,SPXW__220302P04390000,18,18.60,19,19.10
12:14:00.000000000,1.00,,,,SPXW__220302P04390000,42,18.30,26,18.80
12:15:00.000000000,1.00,,,,SPXW__220302P04390000,27,17.90,6,18.30
12:16:00.000000000,0.97,,,0.03,SPXW__220302P04390000,12,17.10,9,17.70
12:17:00.000000000,0.97,,,0.03,SPXW__220302P04390000,7,18.90,13,19.40
12:18:00.000000000,1.00,,,,SPXW__220302P04390000,15,17.70,23,18.10
12:19:00.000000000,1.00,,,,SPXW__220302P04390000,7,18.30,13,18.80
12:20:00.000000000,1.00,,,,SPXW__220302P04390000,1,18.60,19,19.10
12:21:00.000000000,1.00,,,,SPXW__220302P04390000,12,18.30,6,18.70
12:22:00.000000000,1.00,,,,SPXW__220302P04390000,19,18.00,39,18.40
12:23:00.000000000,1.00,,,,SPXW__220302P04390000,30,19.40,6,19.80
12:24:00.000000000,1.00,,,,SPXW__220302P04390000,25,20.90,5,21.30
12:25:00.000000000,1.00,,,,SPXW__220302P04390000,21,21.70,30,22.20
12:26:00.000000000,1.00,,,,SPXW__220302P04390000,31,22.40,6,23.10
12:27:00.000000000,1.00,,,,SPXW__220302P04390000,18,21.30,22,21.80
12:28:00.000000000,1.00,,,,SPXW__220302P04390000,21,19.40,5,19.80
12:29:00.000000000,1.00,,,,SPXW__220302P04390000,12,18.60,27,19.00
12:30:00.000000000,1.00,,,,SPXW__220302P04390000,5,17.90,13,18.30
12:31:00.000000000,1.00,,,,SPXW__220302P04390000,38,17.50,6,17.90
12:32:00.000000000,1.00,,,,SPXW__220302P04390000,8,17.40,15,17.90
12:33:00.000000000,1.00,,,,SPXW__220302P04390000,46,16.70,1,17.10
12:34:00.000000000,1.00,0.00,,,SPXW__220302P04390000,49,17.00,18,17.40
12:35:00.000000000,1.00,0.00,,,SPXW__220302P04390000,24,18.50,24,18.90
12:36:00.000000000,1.00,,,,SPXW__220302P04390000,12,16.50,43,16.90
12:37:00.000000000,1.00,,,,SPXW__220302P04390000,9,16.70,2,17.00
12:38:00.000000000,0.89,0.11,,0.01,SPXW__220302P04390000,69,16.50,51,16.80
12:39:00.000000000,0.96,0.04,,,SPXW__220302P04390000,34,16.10,38,16.50
12:40:00.000000000,0.93,0.01,,0.06,SPXW__220302P04390000,9,16.80,25,17.20
12:41:00.000000000,0.98,,,0.02,SPXW__220302P04390000,39,16.30,42,16.70
12:42:00.000000000,0.76,0.05,,0.19,SPXW__220302P04390000,7,17.40,1,17.70
12:43:00.000000000,1.00,,,,SPXW__220302P04390000,7,16.70,24,17.10
12:44:00.000000000,0.95,0.05,,,SPXW__220302P04390000,1,16.00,6,16.30
12:45:00.000000000,0.77,0.23,,,SPXW__220302P04390000,105,15.90,23,16.30
12:46:00.000000000,0.74,0.26,,,SPXW__220302P04390000,50,15.40,37,15.80
12:47:00.000000000,0.96,0.00,,0.03,SPXW__220302P04390000,28,16.90,117,17.30
12:48:00.000000000,0.79,,,0.21,SPXW__220302P04390000,1,16.50,8,16.80
12:49:00.000000000,0.98,0.00,,0.01,SPXW__220302P04390000,17,16.30,34,16.70
12:50:00.000000000,0.97,,,0.03,SPXW__220302P04390000,13,19.20,13,19.80
12:51:00.000000000,1.00,0.00,,,SPXW__220302P04390000,6,19.50,33,19.90
12:52:00.000000000,1.00,,,,SPXW__220302P04390000,44,17.50,26,18.00
12:53:00.000000000,1.00,,,,SPXW__220302P04390000,9,16.10,36,16.50
12:54:00.000000000,1.00,,,,SPXW__220302P04390000,30,16.40,23,16.80
12:55:00.000000000,1.00,,,,SPXW__220302P04390000,42,17.30,7,17.70
12:56:00.000000000,0.99,0.01,,,SPXW__220302P04390000,20,18.40,30,18.90
